id_student,gender,region,highest_education,disability,age_band
480181,M,North Region,A Level or Equivalent,N,0-34
480199,F,London Region,Lower Than A Level,N,35-54
480207,M,North Western Region,A Level or Equivalent,Y,0-34
480225,F,East Anglian Region,Lower Than A Level,N,0-34
480303,M,Wales,Lower Than A Level,N,35-54
480372,F,North Western Region,Lower Than A Level,N,0-34
480382,M,South East Region,A Level or Equivalent,N,35-54
480458,M,Wales,HE Qualification,N,0-34
480507,F,Scotland,Lower Than A Level,N,35-54
480531,M,East Midlands Region,A Level or Equivalent,N,0-34
480554,F,West Midlands Region,Lower Than A Level,N,0-34
480579,F,London Region,A Level or Equivalent,N,0-34
480590,F,West Midlands Region,Lower Than A Level,Y,0-34
480604,M,North Western Region,A Level or Equivalent,N,35-54
480650,F,North Region,A Level or Equivalent,N,0-34
480667,F,West Midlands Region,A Level or Equivalent,N,35-54
480716,M,South Region,HE Qualification,N,35-54
480815,F,East Midlands Region,A Level or Equivalent,N,0-34
480888,F,West Midlands Region,Lower Than A Level,N,35-54
480910,M,Scotland,A Level or Equivalent,N,0-34
480914,F,East Anglian Region,No Formal quals,N,0-34
480924,F,East Anglian Region,Lower Than A Level,N,0-34
480928,M,Yorkshire Region,Lower Than A Level,Y,0-34
480937,M,Yorkshire Region,Lower Than A Level,N,35-54
480938,M,South Region,HE Qualification,N,35-54
480943,M,South Region,Lower Than A Level,N,0-34
480956,M,Scotland,HE Qualification,N,35-54
480959,F,London Region,Lower Than A Level,N,0-34
480960,F,London Region,A Level or Equivalent,N,0-34
480972,M,Scotland,A Level or Equivalent,N,35-54
480981,M,London Region,Lower Than A Level,Y,35-54
480984,M,North Region,A Level or Equivalent,N,0-34
480988,F,South Region,HE Qualification,N,0-34
481010,F,South Region,A Level or Equivalent,N,0-34
481022,M,East Midlands Region,A Level or Equivalent,N,0-34
481024,F,London Region,A Level or Equivalent,N,35-54
481092,F,East Anglian Region,A Level or Equivalent,Y,0-34
481143,F,North Western Region,Lower Than A Level,N,0-34
481150,F,Ireland,A Level or Equivalent,N,0-34
481169,M,London Region,A Level or Equivalent,N,35-54
481210,F,South Region,Lower Than A Level,N,0-34
481227,M,Wales,A Level or Equivalent,N,35-54
481240,M,Yorkshire Region,A Level or Equivalent,N,0-34
481350,F,Yorkshire Region,A Level or Equivalent,N,0-34
481367,M,North Western Region,A Level or Equivalent,N,0-34
481404,M,North Western Region,Lower Than A Level,Y,35-54
481448,F,East Anglian Region,Lower Than A Level,N,0-34
481453,M,London Region,A Level or Equivalent,N,35-54
481538,M,North Western Region,Lower Than A Level,N,0-34
481549,F,South Region,A Level or Equivalent,N,0-34
481580,F,East Anglian Region,A Level or Equivalent,N,0-34
481593,F,Wales,HE Qualification,N,35-54
481607,F,North Western Region,Lower Than A Level,N,35-54
481618,M,South East Region,A Level or Equivalent,N,0-34
481667,M,Wales,HE Qualification,N,0-34
481717,M,North Western Region,A Level or Equivalent,N,0-34
481762,F,East Midlands Region,A Level or Equivalent,N,0-34
481772,F,London Region,Lower Than A Level,N,0-34
481787,M,West Midlands Region,A Level or Equivalent,N,0-34
481790,F,Ireland,A Level or Equivalent,N,0-34
481863,F,Scotland,A Level or Equivalent,N,0-34
481884,M,North Western Region,Lower Than A Level,N,0-34
481934,M,Scotland,Post Graduate Qualification,N,35-54
481947,F,West Midlands Region,Lower Than A Level,N,0-34
482012,M,West Midlands Region,A Level or Equivalent,N,0-34
482030,M,East Anglian Region,Lower Than A Level,N,0-34
482071,M,South Region,Lower Than A Level,N,0-34
482083,F,South Region,Lower Than A Level,N,35-54
482117,M,North Western Region,Lower Than A Level,N,0-34
482145,F,London Region,A Level or Equivalent,N,0-34
482173,F,Scotland,A Level or Equivalent,N,0-34
482187,F,North Region,A Level or Equivalent,N,0-34
482264,F,West Midlands Region,A Level or Equivalent,N,35-54
482268,M,East Anglian Region,No Formal quals,N,0-34
482275,M,North Western Region,Lower Than A Level,N,35-54
482280,M,East Anglian Region,Lower Than A Level,N,0-34
482356,F,Wales,Lower Than A Level,N,0-34
482406,M,South Region,A Level or Equivalent,N,0-34
482445,M,Scotland,HE Qualification,N,0-34
482467,F,West Midlands Region,Lower Than A Level,N,0-34
482513,F,North Western Region,Lower Than A Level,N,35-54
482554,M,Scotland,Lower Than A Level,N,0-34
482556,F,East Anglian Region,A Level or Equivalent,N,35-54
482580,M,North Western Region,Lower Than A Level,Y,0-34
482635,F,East Anglian Region,A Level or Equivalent,N,0-34
482644,M,London Region,HE Qualification,N,0-34
482677,F,South East Region,Lower Than A Level,N,0-34
482680,M,Scotland,A Level or Equivalent,Y,0-34
482710,M,West Midlands Region,A Level or Equivalent,N,35-54
482726,F,South Region,Post Graduate Qualification,N,35-54
482745,M,South East Region,A Level or Equivalent,N,0-34
482751,F,Yorkshire Region,A Level or Equivalent,N,0-34
482766,F,South Region,HE Qualification,N,35-54
482810,F,South East Region,A Level or Equivalent,N,0-34
482843,F,Ireland,Lower Than A Level,N,35-54
482856,F,Ireland,HE Qualification,N,35-54
482868,M,South East Region,Lower Than A Level,N,0-34
482938,M,South East Region,Lower Than A Level,N,35-54
482945,M,Wales,Lower Than A Level,Y,35-54
483031,F,North Western Region,A Level or Equivalent,N,0-34
483037,M,London Region,No Formal quals,N,35-54
483064,F,North Region,A Level or Equivalent,N,0-34
483074,F,East Anglian Region,Lower Than A Level,N,0-34
483108,F,North Western Region,A Level or Equivalent,N,0-34
483109,F,London Region,HE Qualification,N,0-34
483117,F,East Anglian Region,Lower Than A Level,N,0-34
483123,M,South West Region,Lower Than A Level,N,0-34
483131,M,Wales,A Level or Equivalent,N,0-34
483135,F,East Anglian Region,Lower Than A Level,N,35-54
483136,F,Yorkshire Region,Lower Than A Level,N,0-34
483149,F,South East Region,A Level or Equivalent,N,35-54
483158,F,West Midlands Region,A Level or Equivalent,N,35-54
483179,M,London Region,A Level or Equivalent,N,35-54
483195,M,North Region,Lower Than A Level,N,0-34
483200,F,Scotland,A Level or Equivalent,N,35-54
483243,F,North Western Region,Lower Than A Level,Y,35-54
483267,M,West Midlands Region,HE Qualification,N,35-54
483275,M,South East Region,A Level or Equivalent,N,0-34
483309,M,South Region,A Level or Equivalent,N,35-54
483315,F,North Western Region,Lower Than A Level,N,0-34
483339,M,London Region,Lower Than A Level,N,35-54
483343,F,South West Region,Lower Than A Level,N,0-34
483362,M,East Anglian Region,Lower Than A Level,N,35-54
483371,F,Scotland,HE Qualification,N,35-54
483389,F,North Region,Lower Than A Level,N,35-54
483411,F,East Midlands Region,Lower Than A Level,N,0-34
483468,F,Wales,HE Qualification,N,0-34
483470,M,South East Region,HE Qualification,N,0-34
483479,F,London Region,A Level or Equivalent,N,0-34
483485,F,Wales,Lower Than A Level,Y,0-34
483508,F,Ireland,Lower Than A Level,N,35-54
483543,M,North Region,HE Qualification,N,0-34
483582,M,South East Region,Lower Than A Level,N,0-34
483620,M,West Midlands Region,Lower Than A Level,N,0-34
483626,M,East Midlands Region,A Level or Equivalent,N,0-34
483646,F,East Midlands Region,Lower Than A Level,N,35-54
483656,F,East Midlands Region,Lower Than A Level,N,0-34
483666,F,Wales,Lower Than A Level,N,35-54
483674,F,Wales,No Formal quals,N,0-34
483703,F,North Western Region,A Level or Equivalent,N,0-34
483706,M,East Anglian Region,Lower Than A Level,N,35-54
483724,M,Wales,A Level or Equivalent,N,0-34
483743,M,South West Region,Lower Than A Level,N,0-34
483744,F,West Midlands Region,Lower Than A Level,Y,0-34
483793,M,South Region,Lower Than A Level,N,0-34
483800,F,Yorkshire Region,A Level or Equivalent,N,0-34
483818,F,South Region,A Level or Equivalent,N,0-34
483858,F,Scotland,A Level or Equivalent,N,0-34
483869,M,North Region,Lower Than A Level,Y,0-34
483872,M,London Region,A Level or Equivalent,N,0-34
483876,F,London Region,No Formal quals,N,0-34
483921,F,East Anglian Region,Lower Than A Level,N,35-54
483934,M,North Western Region,Lower Than A Level,N,0-34
483952,F,East Anglian Region,Lower Than A Level,N,0-34
483959,F,South Region,A Level or Equivalent,N,0-34
483975,M,North Region,Lower Than A Level,N,0-34
483997,F,North Region,A Level or Equivalent,N,0-34
484010,M,East Anglian Region,A Level or Equivalent,N,35-54
484039,F,Yorkshire Region,A Level or Equivalent,N,0-34
484075,M,Wales,A Level or Equivalent,N,0-34
484125,M,Ireland,Lower Than A Level,N,0-34
484130,F,London Region,A Level or Equivalent,N,0-34
484135,F,London Region,HE Qualification,N,0-34
484158,M,Scotland,HE Qualification,N,35-54
484161,F,South West Region,Lower Than A Level,N,35-54
484165,M,North Western Region,A Level or Equivalent,N,0-34
484171,M,West Midlands Region,A Level or Equivalent,N,0-34
484174,M,South West Region,Lower Than A Level,N,0-34
484213,F,London Region,A Level or Equivalent,N,0-34
484223,F,Ireland,Lower Than A Level,N,0-34
484242,M,Wales,A Level or Equivalent,N,0-34
484252,F,Yorkshire Region,A Level or Equivalent,N,0-34
484266,M,Scotland,Lower Than A Level,N,0-34
484292,M,South Region,Lower Than A Level,N,0-34
484301,F,East Midlands Region,A Level or Equivalent,Y,0-34
484305,M,East Anglian Region,Lower Than A Level,N,0-34
484312,M,London Region,A Level or Equivalent,N,0-34
484351,F,West Midlands Region,Lower Than A Level,N,0-34
484355,M,Yorkshire Region,Lower Than A Level,N,0-34
484361,M,Wales,No Formal quals,N,0-34
484412,F,South West Region,A Level or Equivalent,N,35-54
484423,F,South West Region,A Level or Equivalent,N,0-34
484435,F,Scotland,HE Qualification,N,35-54
484436,M,North Western Region,Lower Than A Level,N,0-34
484443,F,Wales,Lower Than A Level,N,35-54
484446,F,South West Region,A Level or Equivalent,N,0-34
484458,F,London Region,A Level or Equivalent,N,35-54
484464,F,London Region,No Formal quals,N,0-34
484475,M,North Region,A Level or Equivalent,N,0-34
484490,F,South Region,A Level or Equivalent,N,35-54
484494,M,South West Region,Lower Than A Level,N,0-34
484550,F,Wales,Lower Than A Level,N,0-34
484556,M,South East Region,Lower Than A Level,Y,0-34
484574,F,Scotland,Lower Than A Level,N,0-34
484594,F,South West Region,A Level or Equivalent,N,35-54
484675,M,North Western Region,Lower Than A Level,Y,35-54
484754,M,West Midlands Region,Lower Than A Level,N,35-54
484762,F,South East Region,A Level or Equivalent,Y,35-54
484768,F,London Region,No Formal quals,N,0-34
484780,F,South East Region,Lower Than A Level,N,0-34
484787,F,North Western Region,A Level or Equivalent,N,0-34
484790,M,East Anglian Region,A Level or Equivalent,N,0-34
484816,M,London Region,Lower Than A Level,N,0-34
484821,F,South East Region,A Level or Equivalent,N,35-54
484885,F,North Region,Lower Than A Level,N,35-54
484897,F,South West Region,A Level or Equivalent,N,0-34
484933,F,Yorkshire Region,A Level or Equivalent,N,35-54
484947,M,Ireland,A Level or Equivalent,N,0-34
484983,F,South West Region,Lower Than A Level,N,0-34
484999,M,South Region,Lower Than A Level,N,0-34
485006,F,Wales,Lower Than A Level,Y,35-54
485180,F,South West Region,Lower Than A Level,N,0-34
485195,F,South West Region,Lower Than A Level,N,0-34
485219,M,East Anglian Region,A Level or Equivalent,N,0-34
485228,F,Scotland,Lower Than A Level,Y,35-54
485262,F,North Region,Lower Than A Level,N,35-54
485282,F,South Region,A Level or Equivalent,N,0-34
485306,F,West Midlands Region,Lower Than A Level,N,0-34
485312,M,Scotland,HE Qualification,N,0-34
485352,F,East Anglian Region,A Level or Equivalent,N,0-34
485374,F,Scotland,A Level or Equivalent,N,0-34
485399,F,South Region,Lower Than A Level,N,0-34
485412,F,West Midlands Region,A Level or Equivalent,N,0-34
485421,M,East Midlands Region,Lower Than A Level,N,0-34
485439,F,Wales,Lower Than A Level,Y,35-54
485448,F,South West Region,Lower Than A Level,N,0-34
485464,M,East Midlands Region,A Level or Equivalent,N,0-34
485506,F,West Midlands Region,A Level or Equivalent,N,0-34
485519,F,North Western Region,A Level or Equivalent,N,0-34
485528,M,Yorkshire Region,A Level or Equivalent,N,0-34
485532,M,East Anglian Region,A Level or Equivalent,N,0-34
485534,F,Wales,A Level or Equivalent,N,35-54
485544,M,West Midlands Region,HE Qualification,N,0-34
485560,F,East Anglian Region,Lower Than A Level,N,0-34
485568,F,South West Region,Lower Than A Level,N,0-34
485582,M,Scotland,HE Qualification,Y,35-54
485594,F,West Midlands Region,A Level or Equivalent,N,0-34
485604,F,London Region,A Level or Equivalent,N,0-34
485612,F,South Region,A Level or Equivalent,N,0-34
485630,F,East Anglian Region,A Level or Equivalent,N,0-34
485671,M,East Anglian Region,Lower Than A Level,Y,0-34
485675,F,North Western Region,A Level or Equivalent,N,0-34
485734,M,Wales,Lower Than A Level,N,35-54
485762,F,Yorkshire Region,A Level or Equivalent,N,0-34
485766,M,Ireland,A Level or Equivalent,N,0-34
485768,M,East Anglian Region,Lower Than A Level,N,0-34
485772,F,Yorkshire Region,Lower Than A Level,N,0-34
485780,F,North Region,HE Qualification,N,0-34
485782,F,East Midlands Region,Lower Than A Level,N,0-34
485791,F,Scotland,A Level or Equivalent,N,0-34
485853,F,Scotland,HE Qualification,Y,0-34
485885,M,East Midlands Region,A Level or Equivalent,N,0-34
485898,M,Scotland,HE Qualification,N,35-54
485909,M,East Midlands Region,A Level or Equivalent,N,0-34
485920,M,East Anglian Region,Lower Than A Level,N,0-34
485943,F,East Anglian Region,No Formal quals,N,0-34
485944,M,North Western Region,Lower Than A Level,N,0-34
485949,F,London Region,HE Qualification,N,0-34
485962,F,East Anglian Region,HE Qualification,N,0-34
485980,M,East Midlands Region,Lower Than A Level,N,35-54
486004,F,East Anglian Region,Lower Than A Level,N,0-34
486007,F,South East Region,A Level or Equivalent,N,0-34
486022,M,Yorkshire Region,A Level or Equivalent,N,0-34
486087,M,Yorkshire Region,A Level or Equivalent,N,0-34
486099,F,South Region,A Level or Equivalent,N,0-34
486145,M,South Region,HE Qualification,N,0-34
486214,F,London Region,Lower Than A Level,N,35-54
486244,F,South Region,A Level or Equivalent,Y,0-34
486279,M,South West Region,Lower Than A Level,N,0-34
486282,F,South West Region,Lower Than A Level,Y,0-34
486287,M,South East Region,Lower Than A Level,Y,0-34
486300,M,East Midlands Region,A Level or Equivalent,N,0-34
486378,M,East Midlands Region,Lower Than A Level,N,0-34
486391,F,Wales,Lower Than A Level,N,0-34
486457,F,London Region,A Level or Equivalent,N,0-34
486473,F,West Midlands Region,A Level or Equivalent,N,0-34
486511,M,Ireland,Lower Than A Level,N,0-34
486516,F,East Midlands Region,A Level or Equivalent,N,0-34
486521,F,South West Region,Lower Than A Level,N,0-34
486533,F,Ireland,A Level or Equivalent,N,35-54
486539,F,North Western Region,Lower Than A Level,N,0-34
486545,M,South West Region,A Level or Equivalent,Y,0-34
486550,F,Wales,A Level or Equivalent,N,0-34
486551,M,South Region,A Level or Equivalent,N,0-34
486650,F,East Midlands Region,HE Qualification,N,0-34
486656,F,Yorkshire Region,A Level or Equivalent,N,35-54
486737,M,North Western Region,Lower Than A Level,Y,0-34
486777,F,London Region,Lower Than A Level,N,0-34
486836,F,North Western Region,A Level or Equivalent,N,0-34
486877,M,South East Region,A Level or Equivalent,N,0-34
486890,M,East Anglian Region,A Level or Equivalent,N,0-34
486948,M,South West Region,HE Qualification,N,0-34
486964,M,Scotland,Lower Than A Level,N,0-34
486994,F,East Anglian Region,A Level or Equivalent,N,0-34
487002,F,South East Region,A Level or Equivalent,N,0-34
487168,F,East Midlands Region,A Level or Equivalent,N,0-34
487214,F,Ireland,Lower Than A Level,N,0-34
487226,F,West Midlands Region,A Level or Equivalent,N,0-34
487239,M,North Western Region,A Level or Equivalent,N,0-34
487247,M,Ireland,A Level or Equivalent,N,0-34
487267,F,Scotland,Lower Than A Level,Y,35-54
487271,M,East Midlands Region,Lower Than A Level,N,0-34
487278,M,West Midlands Region,Lower Than A Level,N,0-34
487293,F,North Western Region,A Level or Equivalent,N,0-34
487314,M,Wales,HE Qualification,N,0-34
487329,F,Yorkshire Region,A Level or Equivalent,N,0-34
487371,F,Scotland,HE Qualification,N,35-54
487386,F,Scotland,Lower Than A Level,N,35-54
487494,M,South Region,No Formal quals,N,0-34
487543,M,East Anglian Region,A Level or Equivalent,N,0-34
487556,M,East Midlands Region,HE Qualification,N,0-34
487570,F,East Anglian Region,A Level or Equivalent,N,35-54
487573,F,North Western Region,A Level or Equivalent,N,0-34
487588,M,East Midlands Region,A Level or Equivalent,N,0-34
487607,M,West Midlands Region,A Level or Equivalent,N,0-34
487621,M,East Midlands Region,A Level or Equivalent,N,0-34
487629,M,North Western Region,A Level or Equivalent,N,0-34
487636,M,North Western Region,A Level or Equivalent,N,0-34
487646,F,East Anglian Region,Lower Than A Level,N,0-34
487681,F,Wales,Lower Than A Level,N,0-34
487711,F,London Region,HE Qualification,N,0-34
488136,M,South Region,Lower Than A Level,N,0-34
488176,F,West Midlands Region,A Level or Equivalent,N,35-54
488185,F,North Western Region,Lower Than A Level,N,0-34
488192,F,North Region,A Level or Equivalent,N,0-34
488195,F,Yorkshire Region,A Level or Equivalent,N,0-34
488198,M,South Region,Lower Than A Level,N,0-34
488242,F,South East Region,A Level or Equivalent,N,35-54
488324,M,London Region,A Level or Equivalent,N,35-54
488364,F,Scotland,HE Qualification,N,35-54
488382,F,London Region,A Level or Equivalent,N,0-34
488386,F,London Region,HE Qualification,Y,0-34
488394,M,East Anglian Region,Lower Than A Level,N,35-54
488425,M,South East Region,Lower Than A Level,N,35-54
488427,F,East Anglian Region,Lower Than A Level,N,0-34
488431,M,North Region,Lower Than A Level,Y,0-34
488445,F,South East Region,Lower Than A Level,N,35-54
488477,F,Scotland,A Level or Equivalent,N,0-34
488524,M,East Midlands Region,HE Qualification,N,0-34
488525,M,North Region,A Level or Equivalent,N,0-34
488550,F,Scotland,HE Qualification,N,0-34
488575,M,Scotland,Lower Than A Level,N,0-34
488617,M,South West Region,Lower Than A Level,N,0-34
488675,M,North Region,Post Graduate Qualification,N,35-54
488680,M,South West Region,A Level or Equivalent,N,35-54
488694,M,West Midlands Region,HE Qualification,N,0-34
488755,F,East Anglian Region,HE Qualification,N,35-54
488758,M,North Region,A Level or Equivalent,N,0-34
488828,M,North Western Region,A Level or Equivalent,N,0-34
488853,M,Yorkshire Region,Lower Than A Level,N,35-54
488854,F,South East Region,Lower Than A Level,N,35-54
488863,F,South East Region,A Level or Equivalent,N,0-34
488908,F,Scotland,A Level or Equivalent,Y,0-34
488929,F,South East Region,Lower Than A Level,Y,0-34
488941,M,North Region,Post Graduate Qualification,N,55<=
488968,F,South West Region,HE Qualification,N,35-54
488990,M,South West Region,A Level or Equivalent,N,35-54
489048,F,London Region,A Level or Equivalent,N,0-34
489084,M,Scotland,HE Qualification,N,0-34
489087,M,Scotland,Lower Than A Level,N,0-34
489104,F,London Region,No Formal quals,N,0-34
489137,M,East Midlands Region,Post Graduate Qualification,N,35-54
489146,F,South West Region,Lower Than A Level,N,0-34
489150,M,West Midlands Region,A Level or Equivalent,N,0-34
489198,F,South Region,Lower Than A Level,N,35-54
489209,F,East Midlands Region,A Level or Equivalent,N,35-54
489222,F,East Anglian Region,Lower Than A Level,N,0-34
489251,F,South Region,Lower Than A Level,N,0-34
489291,F,North Western Region,Lower Than A Level,N,35-54
489309,M,North Region,A Level or Equivalent,N,35-54
489313,M,South West Region,HE Qualification,N,0-34
489320,F,South Region,Lower Than A Level,Y,0-34
489410,F,West Midlands Region,Lower Than A Level,N,0-34
489443,M,West Midlands Region,A Level or Equivalent,N,0-34
489455,F,South West Region,A Level or Equivalent,N,0-34
489493,F,North Western Region,A Level or Equivalent,N,0-34
489507,F,North Region,A Level or Equivalent,N,0-34
489553,M,West Midlands Region,HE Qualification,N,0-34
489560,M,South Region,A Level or Equivalent,N,0-34
489624,F,East Midlands Region,A Level or Equivalent,N,35-54
489889,M,West Midlands Region,A Level or Equivalent,N,0-34
489929,M,South East Region,Lower Than A Level,N,35-54
489966,F,West Midlands Region,Lower Than A Level,N,0-34
489990,F,North Western Region,Lower Than A Level,N,0-34
490024,M,South Region,A Level or Equivalent,N,0-34
490081,M,East Anglian Region,Lower Than A Level,N,0-34
490082,F,East Anglian Region,HE Qualification,N,0-34
490110,F,West Midlands Region,A Level or Equivalent,N,0-34
490152,F,London Region,A Level or Equivalent,N,0-34
490154,M,North Western Region,Lower Than A Level,N,0-34
490156,M,North Region,HE Qualification,N,35-54
490164,F,South East Region,Lower Than A Level,Y,0-34
490195,M,Yorkshire Region,A Level or Equivalent,N,0-34
490282,M,South East Region,A Level or Equivalent,Y,35-54
490284,M,East Anglian Region,A Level or Equivalent,N,0-34
490297,M,Scotland,Lower Than A Level,Y,0-34
490299,F,South Region,Lower Than A Level,N,0-34
490313,M,East Anglian Region,A Level or Equivalent,N,0-34
490327,M,North Western Region,A Level or Equivalent,N,0-34
490391,F,Scotland,Lower Than A Level,N,0-34
490394,M,South East Region,Lower Than A Level,N,0-34
490443,M,North Western Region,A Level or Equivalent,N,0-34
490449,M,West Midlands Region,No Formal quals,N,0-34
490500,F,South West Region,Lower Than A Level,N,0-34
490505,M,South Region,HE Qualification,N,35-54
490514,F,South Region,Lower Than A Level,N,0-34
490530,M,Wales,Lower Than A Level,N,0-34
490542,F,East Anglian Region,Lower Than A Level,N,0-34
490587,M,Wales,Lower Than A Level,Y,0-34
490629,M,South West Region,A Level or Equivalent,N,0-34
490648,F,North Western Region,Lower Than A Level,N,0-34
490662,M,South West Region,A Level or Equivalent,N,0-34
490665,M,Scotland,HE Qualification,Y,0-34
490677,F,Yorkshire Region,A Level or Equivalent,N,35-54
490733,F,London Region,Lower Than A Level,N,0-34
490738,M,North Western Region,HE Qualification,N,0-34
490768,M,Yorkshire Region,Lower Than A Level,N,0-34
490769,F,South East Region,A Level or Equivalent,N,0-34
490894,F,London Region,A Level or Equivalent,N,35-54
491001,F,South East Region,A Level or Equivalent,N,0-34
491004,M,Wales,A Level or Equivalent,N,35-54
491011,M,South East Region,A Level or Equivalent,Y,0-34
491033,M,Scotland,Lower Than A Level,N,0-34
491036,F,South East Region,A Level or Equivalent,N,0-34
491077,M,West Midlands Region,Lower Than A Level,N,35-54
491081,M,London Region,HE Qualification,N,35-54
491097,F,North Region,Lower Than A Level,Y,0-34
491106,M,West Midlands Region,Lower Than A Level,N,35-54
491108,F,South West Region,A Level or Equivalent,N,0-34
491110,F,West Midlands Region,HE Qualification,N,0-34
491114,F,South Region,A Level or Equivalent,N,0-34
491126,M,West Midlands Region,A Level or Equivalent,Y,0-34
491170,M,London Region,A Level or Equivalent,N,0-34
491232,M,South East Region,Lower Than A Level,Y,0-34
491279,F,Scotland,Lower Than A Level,Y,35-54
491387,M,South Region,A Level or Equivalent,N,0-34
491474,M,South West Region,Lower Than A Level,N,0-34
491486,M,Ireland,Lower Than A Level,N,0-34
491503,F,Wales,A Level or Equivalent,N,35-54
491548,M,South East Region,A Level or Equivalent,N,0-34
491570,F,Yorkshire Region,A Level or Equivalent,N,0-34
491578,M,Yorkshire Region,Lower Than A Level,N,0-34
491606,M,West Midlands Region,A Level or Equivalent,N,0-34
491607,F,South West Region,A Level or Equivalent,N,0-34
491636,M,East Anglian Region,Lower Than A Level,N,35-54
491664,M,East Midlands Region,A Level or Equivalent,N,0-34
491688,M,South East Region,Lower Than A Level,Y,0-34
491693,M,South Region,A Level or Equivalent,N,0-34
491742,M,North Western Region,Lower Than A Level,N,0-34
491756,M,West Midlands Region,Lower Than A Level,Y,0-34
491757,M,North Western Region,Lower Than A Level,Y,0-34
491758,F,East Anglian Region,Lower Than A Level,N,35-54
491771,M,North Western Region,HE Qualification,N,0-34
491792,M,South Region,HE Qualification,N,35-54
491843,F,South East Region,Lower Than A Level,Y,0-34
491863,M,North Western Region,Lower Than A Level,N,0-34
491874,F,West Midlands Region,A Level or Equivalent,N,0-34
491875,F,Ireland,Lower Than A Level,N,0-34
491885,F,East Anglian Region,Lower Than A Level,Y,35-54
491907,F,South East Region,Lower Than A Level,N,0-34
491912,M,East Anglian Region,No Formal quals,N,0-34
491914,M,South Region,A Level or Equivalent,N,0-34
491926,M,Wales,Lower Than A Level,Y,35-54
491959,M,West Midlands Region,HE Qualification,N,0-34
491966,F,East Anglian Region,A Level or Equivalent,N,0-34
492020,M,London Region,HE Qualification,N,35-54
492024,M,Scotland,Lower Than A Level,N,0-34
492088,M,North Western Region,Lower Than A Level,N,35-54
492095,M,North Western Region,Lower Than A Level,N,0-34
492111,M,North Region,A Level or Equivalent,N,35-54
492153,F,East Anglian Region,A Level or Equivalent,Y,35-54
492177,M,East Midlands Region,HE Qualification,N,0-34
492182,F,South Region,A Level or Equivalent,N,0-34
492229,F,North Western Region,A Level or Equivalent,Y,0-34
492240,F,South Region,A Level or Equivalent,N,0-34
492247,M,South East Region,Lower Than A Level,N,0-34
492254,M,Yorkshire Region,Lower Than A Level,N,0-34
492286,F,London Region,Lower Than A Level,N,35-54
492336,M,East Anglian Region,Lower Than A Level,N,0-34
492357,M,East Midlands Region,A Level or Equivalent,N,35-54
492371,F,South West Region,A Level or Equivalent,Y,0-34
492403,F,West Midlands Region,A Level or Equivalent,N,0-34
492468,F,West Midlands Region,A Level or Equivalent,Y,0-34
492478,F,East Anglian Region,A Level or Equivalent,N,0-34
492480,M,South East Region,Lower Than A Level,N,0-34
492496,M,Yorkshire Region,Lower Than A Level,N,0-34
492537,M,London Region,Lower Than A Level,Y,0-34
492552,M,Wales,A Level or Equivalent,N,0-34
492557,M,North Western Region,Lower Than A Level,N,0-34
492579,F,West Midlands Region,A Level or Equivalent,N,0-34
492590,F,North Western Region,Lower Than A Level,N,0-34
492592,F,South West Region,Lower Than A Level,N,0-34
492613,F,Yorkshire Region,A Level or Equivalent,N,0-34
492635,F,South West Region,A Level or Equivalent,N,0-34
492676,F,Scotland,A Level or Equivalent,Y,0-34
492726,F,Scotland,A Level or Equivalent,N,0-34
492740,F,Scotland,HE Qualification,N,0-34
492842,F,North Western Region,Lower Than A Level,Y,0-34
492851,M,South West Region,Lower Than A Level,N,0-34
492895,F,North Western Region,A Level or Equivalent,N,35-54
492900,M,South West Region,A Level or Equivalent,Y,0-34
492909,F,Yorkshire Region,Lower Than A Level,N,0-34
492928,F,Scotland,A Level or Equivalent,N,0-34
492946,F,London Region,A Level or Equivalent,N,0-34
492979,F,East Anglian Region,A Level or Equivalent,N,0-34
492993,M,East Anglian Region,A Level or Equivalent,N,0-34
493055,M,London Region,HE Qualification,N,0-34
493067,M,London Region,HE Qualification,N,0-34
493147,F,South East Region,A Level or Equivalent,Y,0-34
493186,F,Wales,Lower Than A Level,N,0-34
493207,F,West Midlands Region,Lower Than A Level,N,0-34
493296,F,North Region,Lower Than A Level,N,0-34
493365,M,North Western Region,A Level or Equivalent,N,0-34
493377,F,East Anglian Region,A Level or Equivalent,Y,0-34
493404,F,West Midlands Region,A Level or Equivalent,N,35-54
493416,M,South West Region,Lower Than A Level,N,0-34
493434,M,Ireland,Lower Than A Level,N,35-54
493443,F,London Region,No Formal quals,N,35-54
493451,F,West Midlands Region,A Level or Equivalent,N,0-34
493453,F,South Region,Lower Than A Level,N,0-34
493460,F,West Midlands Region,Lower Than A Level,N,0-34
493465,F,South Region,A Level or Equivalent,N,0-34
493515,F,South West Region,Lower Than A Level,Y,0-34
493539,M,East Midlands Region,Lower Than A Level,N,0-34
493559,F,Scotland,A Level or Equivalent,N,0-34
493609,F,Ireland,Lower Than A Level,N,0-34
493650,F,Scotland,A Level or Equivalent,N,0-34
493672,F,Scotland,Lower Than A Level,N,35-54
493725,F,South East Region,Lower Than A Level,N,35-54
493743,M,South East Region,A Level or Equivalent,N,0-34
493760,F,South Region,A Level or Equivalent,N,0-34
493763,F,South Region,A Level or Equivalent,N,0-34
493773,M,London Region,A Level or Equivalent,N,0-34
493793,M,South Region,A Level or Equivalent,Y,0-34
493822,F,North Western Region,HE Qualification,N,0-34
